ticker;year_report;quarter_report;period_date;pe;pb;ps;price_to_cash_flow;ev_to_ebitda;roe;roa;gross_margin;pre_tax_margin;after_tax_margin;debt_to_equity;financial_leverage;current_ratio;quick_ratio;cash_ratio;asset_turnover;market_cap;shares;net_interest_margin;cir;car;casa_ratio;npl;ldr;loans_growth;deposit_growth
PGI;2024;2;;10.8416842816;1.3919704626;0.745970976;-22.0684995;-4.2835414136;0.1281004078;0.0317200458;0.1710319233;0.0853267451;0.0688058199;3.13015317;3.13015317;1.1031586357;1.0965887166;0.6898631727;0.4610081803;2550626308000.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGI;2024;3;;10.4125330732;1.2899315255;0.7068776886;10.7903803005;-4.1333291156;0.1254113424;0.0298673468;0.2042462918;0.0843344251;0.0678871974;3.5238843446;3.5238843446;1.1022041377;1.0960105401;0.6396236475;0.439955513;2412005313000.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGI;2024;4;;12.12871379;1.4767781021;0.8240151925;14.2551777905;-5.1186555896;0.1231390786;0.0292613543;0.0;0.0851845808;0.0679392066;3.4169519686;3.4169519686;1.1001161768;1.097146921;0.6626684671;0.430699088;2816778618400.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGI;2025;1;;9.4757284745;1.1963846386;0.6537990036;20.5294728602;-4.6082665381;0.1261509254;0.0286348142;0.1661504479;0.0867605853;0.0689972286;3.5454533174;3.5454533174;1.0844110148;1.0782400544;0.6504289476;0.4150139761;2234570439400.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGI;2025;2;;9.6336897525;1.2062144009;0.6516910784;-23.3534569386;-4.2242681276;0.1244410845;0.0274813851;0.1647034604;0.0851264156;0.0676470901;3.6289336762;3.6289336762;1.0703491932;1.0656251273;0.6137771324;0.406246374;2251204958800.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGI;2025;3;;9.2123326155;1.1326812316;0.6046437872;16.340685856;-4.0392722463;0.1241153333;0.0274250682;0.1909894877;0.0823681636;0.0656341681;3.5137416823;3.5137416823;1.0781901717;1.0746242789;0.0377313749;0.4178474264;2156942682200.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGI;2025;4;;8.8519229552;1.1128271763;0.5972411891;29.5736893325;-3.9773923352;0.1272080053;0.0278202127;0.0;0.0841141877;0.06747022;3.7244047781;3.7244047781;1.0467413897;1.045310747;0.5997382658;0.4123332147;2173577201600.0;110896796.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGN;2024;1;;13.890686324;0.5722981361;0.3353820707;34.9552823702;7.8873132987;0.0417713411;0.0218483858;0.0853096286;0.0325773293;0.0241443844;0.9569187305;0.9569187305;1.7550758642;1.0510631917;0.0789169832;0.904905479;61521583500.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGN;2024;2;;12.7653504944;0.5879533938;0.3468021322;-10.7618442301;7.7897259315;0.0469929312;0.024441066;0.0906522201;0.0361363332;0.0271674587;0.906395427;0.906395427;1.8063262423;1.06183796;0.0601123048;0.8996449116;64361041200.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
PGN;2024;3;;27.8506269917;1.1807648333;0.6535634753;-21.9034705234;11.7159393768;0.0429294924;0.0223750997;0.0842875466;0.0319668499;0.0234667419;0.8497336398;0.8497336398;1.8743806679;1.0442907885;0.0321940351;0.953481306;129668568300.0;9464859.0;0.0;0.0;;;0.0;0.0;0.0;0.0
